mount_id,Year,week,max_temp,min_temp,rain
71032,2020,2,18.285714285714285,6.128571428571428,3.1999999999999997
71032,2020,3,16.67142857142857,6.985714285714286,1.457142857142857
71032,2020,4,16.242857142857144,6.142857142857143,9.62857142857143
71032,2020,5,23.25,11.516666666666666,0.0
71032,2020,6,14.183333333333332,4.083333333333333,3.4333333333333336
71032,2020,7,15.985714285714286,9.042857142857143,17.885714285714286
71032,2020,8,14.428571428571429,5.542857142857143,4.485714285714286
71032,2020,9,15.928571428571429,6.314285714285715,3.057142857142857
71032,2020,10,12.72857142857143,7.085714285714286,13.342857142857142
71032,2020,11,11.671428571428573,1.8285714285714287,1.8
71032,2020,12,13.942857142857141,4.414285714285714,0.0
71032,2020,13,11.257142857142856,1.8142857142857143,0.5142857142857143
71032,2020,14,9.828571428571427,3.8285714285714283,13.37142857142857
